old,new,kind,status,note
/2010/10/agile-games-conference-2011/,/2010/10/agile-games-conference-2011/,artikel,EXACT,
/2010/11/marshmallow-challenge/,/2010/11/marshmallow-challenge/,artikel,EXACT,
/2010/11/marshmallow-challenge/feed/,/2010/11/marshmallow-challenge/,feed,REDIRECT,301 · 1 hop
/2011/01/agile-games-2011-conference-super-early-bird-pricing-until-january-24-2011/,/2011/01/agile-games-2011-conference-super-early-bird-pricing-until-january-24-2011/,artikel,EXACT,
/2011/01/new-for-2011-tastycupcakes-updated-and-expanded-vision/,/2011/01/new-for-2011-tastycupcakes-updated-and-expanded-vision/,artikel,EXACT,
/2011/01/your-turn-to-play-get-involved-with-tasty-cupcakes/,/2011/01/your-turn-to-play-get-involved-with-tasty-cupcakes/,artikel,EXACT,
/2011/02/agile-games-2011-early-bird-prices-end-feb-28th/,/2011/02/agile-games-2011-early-bird-prices-end-feb-28th/,artikel,EXACT,
/2011/02/tasty-cupcakes-now-in-three-languages/,/2011/02/tasty-cupcakes-now-in-three-languages/,artikel,EXACT,
/2011/02/tasty-cupcakes-now-in-three-languages/feed/,/2011/02/tasty-cupcakes-now-in-three-languages/,feed,REDIRECT,301 · 1 hop
/2011/03/bang-for-the-buck-prioritization/,/2011/03/bang-for-the-buck-prioritization/,artikel,EXACT,
/2011/03/bang-for-the-buck-prioritization/feed/,/2011/03/bang-for-the-buck-prioritization/,feed,REDIRECT,301 · 1 hop
/2011/04/coaching-skills-dojo/,/2011/04/coaching-skills-dojo/,artikel,EXACT,
/2011/04/dont-blow-it/,/2011/04/dont-blow-it/,artikel,EXACT,
/2011/04/dont-blow-it/feed/,/2011/04/dont-blow-it/,feed,REDIRECT,301 · 1 hop
/2011/04/non-musical-chairs/,/2011/04/non-musical-chairs/,artikel,EXACT,
/2011/04/non-musical-chairs/comment-page-1/,/2011/04/non-musical-chairs/,reactiepagina,REDIRECT,301 · 1 hop
/2011/04/non-musical-chairs/feed/,/2011/04/non-musical-chairs/,feed,REDIRECT,301 · 1 hop
/2011/04/pair-chess-exercise/,/2011/04/pair-chess-exercise/,artikel,EXACT,
/2011/04/redesign-the-gift-giving-experience/,/2011/04/redesign-the-gift-giving-experience/,artikel,EXACT,
/2011/04/redesign-the-gift-giving-experience/feed/,/2011/04/redesign-the-gift-giving-experience/,feed,REDIRECT,301 · 1 hop
/2011/04/sustaining-agility/,/2011/04/sustaining-agility/,artikel,EXACT,
/2011/04/tastycupcakes-community-update/,/2011/04/tastycupcakes-community-update/,artikel,EXACT,
/2011/04/tastycupcakes-community-update/feed/,/2011/04/tastycupcakes-community-update/,feed,REDIRECT,301 · 1 hop
/2011/05/screencast-four-ways-to-search-for-games-on-tastycupcakes/,/2011/05/screencast-four-ways-to-search-for-games-on-tastycupcakes/,artikel,EXACT,
/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/,/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/,artikel,EXACT,
/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/tastygames-printme/,/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/,attachment,REDIRECT,301 · 1 hop
/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/tastygames-printme/feed/,/2011/05/we-played-innovationgames-to-plan-tastycupcakes-org/,feed,REDIRECT,301 · 1 hop
/2011/06/cover-story-2/,/2011/06/cover-story-2/,artikel,EXACT,
/2011/06/cover-story-2/feed/,/2011/06/cover-story-2/,feed,REDIRECT,301 · 1 hop
/2011/06/empathy-map/,/2011/06/empathy-map/,artikel,EXACT,
/2011/06/online-plusdelta-game/,/2011/06/online-plusdelta-game/,artikel,EXACT,
/2011/06/online-plusdelta-game/feed/,/2011/06/online-plusdelta-game/,feed,REDIRECT,301 · 1 hop
/2011/06/prune-the-product-tree/,/2011/06/prune-the-product-tree/,artikel,EXACT,
/2011/06/rock-paper-scissors-happiness/,/2011/06/rock-paper-scissors-happiness/,artikel,EXACT,
/2011/06/rock-paper-scissors-happiness/feed/,/2011/06/rock-paper-scissors-happiness/,feed,REDIRECT,301 · 1 hop
/2011/06/speed-boat/,/2011/06/speed-boat/,artikel,EXACT,
/2011/06/the-whole-product-game/,/2011/06/the-whole-product-game/,artikel,EXACT,
/2011/07/actions-for-retrospectives-2/,/2011/07/actions-for-retrospectives-2/,artikel,EXACT,
/2011/07/agile-airplanes/,/2011/07/agile-airplanes/,artikel,EXACT,
/2011/07/agile-airplanes/agile_airplane/,/2011/07/agile-airplanes/,attachment,REDIRECT,301 · 1 hop
/2011/07/agile-airplanes/agile_airplane/feed/,/2011/07/agile-airplanes/,feed,REDIRECT,301 · 1 hop
/2011/07/agile-airplanes/comment-page-1/,/2011/07/agile-airplanes/,reactiepagina,REDIRECT,301 · 1 hop
/2011/07/agile-airplanes/feed/,/2011/07/agile-airplanes/,feed,REDIRECT,301 · 1 hop
