from,to,status,reason
/2012/02/multitasking-game-handsnumberssong/feed/,/2012/02/multitasking-game-handsnumberssong/,301,attachmentpagina
/2012/02/nobodys-perfct/comment-page-1/,/2012/02/nobodys-perfct/,301,legacy URL
/2012/02/nobodys-perfct/feed/,/2012/02/nobodys-perfct/,301,attachmentpagina
/2012/02/you-sunk-my-methodology/feed/,/2012/02/you-sunk-my-methodology/,301,attachmentpagina
/2012/03/job-or-joy/feed/,/2012/03/job-or-joy/,301,attachmentpagina
/2012/03/one-word-storytelling/comment-page-1/,/2012/03/one-word-storytelling/,301,legacy URL
/2012/03/one-word-storytelling/feed/,/2012/03/one-word-storytelling/,301,attachmentpagina
/2012/03/ouija-board-estimation/comment-page-1/,/2012/03/ouija-board-estimation/,301,legacy URL
/2012/03/ouija-board-estimation/feed/,/2012/03/ouija-board-estimation/,301,attachmentpagina
/2012/04/scrum-simulation-with-lego-bricks/feed/,/2012/04/scrum-simulation-with-lego-bricks/,301,attachmentpagina
/2012/04/tasty-estimation/feed/,/2012/04/tasty-estimation/,301,attachmentpagina
/2012/05/lean-startup-snowflakes/comment-page-1/,/2012/05/lean-startup-snowflakes/,301,legacy URL
/2012/05/lean-startup-snowflakes/feed/,/2012/05/lean-startup-snowflakes/,301,attachmentpagina
/2012/05/lean-startup-snowflakes/money/,/2012/05/lean-startup-snowflakes/,301,attachmentpagina
/2012/05/lean-startup-snowflakes/money/feed/,/2012/05/lean-startup-snowflakes/,301,attachmentpagina
/2012/05/lean-startup-snowflakes/photo-20/,/2012/05/lean-startup-snowflakes/,301,attachmentpagina
/2012/05/lean-startup-snowflakes/photo-20/feed/,/2012/05/lean-startup-snowflakes/,301,attachmentpagina
/2012/07/gone-fishing-game/feed/,/2012/07/gone-fishing-game/,301,attachmentpagina
/2012/08/customer-centric/feed/,/2012/08/customer-centric/,301,attachmentpagina
/2012/08/die-card-die-the-interruption-game/comment-page-1/,/2012/08/die-card-die-the-interruption-game/,301,legacy URL
/2012/08/die-card-die-the-interruption-game/die_card_die-2/,/2012/08/die-card-die-the-interruption-game/,301,attachmentpagina
/2012/08/die-card-die-the-interruption-game/die_card_die-2/feed/,/2012/08/die-card-die-the-interruption-game/,301,attachmentpagina
/2012/08/die-card-die-the-interruption-game/feed/,/2012/08/die-card-die-the-interruption-game/,301,attachmentpagina
